product_id,sku,name,category,price,stock_quantity,last_sync
PARTNER_66987,sku-00789,Tape Dispenser Desktop,Supplies,11.50,370,2023-12-15 16:05:00
PARTNER_44123,SKU-901,Bluetooth Mouse Slim,Electronics,38.00,210,2024-01-10 10:40:00
PARTNER_11987,P-00222,Bookends Metal Pair,Office,21.00,255,2023-10-25 13:30:00
PARTNER_88432,PROD-00678,Laptop Privacy Filter,Computer Accessories,52.50,115,2023-11-20 15:15:00
PARTNER_55321,00123,Paper Clips Jumbo,Supplies,5.50,565,2024-01-18 09:20:00
PARTNER_22654,sku-00901,Keyboard Wrist Rest,Computer Accessories,19.50,325,2023-12-08 12:45:00
PARTNER_99765,,Label Maker Portable,Office,65.00,95,2024-02-06 14:10:00
PARTNER_77987,P-00333,Surge Protector Tower,Electronics,42.99,165,2023-11-12 10:55:00
PARTNER_33123,SKU-00890,Scissors Premium,Supplies,13.99,430,2023-10-15 16:30:00
PARTNER_66234,prod-00456,Tablet Stand Aluminum,Computer Accessories,34.50,190,2024-01-22 11:40:00
PARTNER_44876,,Hole Punch 3-Ring,Supplies,16.50,380,2023-12-03 15:25:00
PARTNER_11234,sku-00567,USB-C Hub Multiport,Computer Accessories,49.99,145,2024-02-09 09:50:00
PARTNER_88123,P-00444,Desk Calendar 2024,Office,12.50,425,2023-11-08 13:15:00
PARTNER_55876,PROD-00789,Noise Machine White,Electronics,55.00,105,2023-12-20 10:35:00
PARTNER_22987,00234,Envelopes Box Manila,Supplies,9.99,510,2024-01-25 14:50:00
PARTNER_99432,SKU-00234,Mouse Pad Extended,Computer Accessories,24.99,275,2023-10-20 12:05:00
PARTNER_77321,p-00555,LED Light Strip USB,Electronics,29.50,235,2023-11-15 16:40:00
PARTNER_33765,sku-345,Index Cards Ruled,Supplies,6.50,540,2024-02-01 11:20:00
PARTNER_66432,PROD-00901,Keyboard Compact Wireless,Electronics,72.00,130,2023-12-12 15:55:00
PARTNER_44234,,Correction Tape,Supplies,3.99,485,2024-01-30 10:15:00
PARTNER_11876,P-00777,Monitor Stand Wooden,Office,48.00,160,2023-11-22 14:25:00
