Department,Category,Subcategory,Q1_Budget,Q1_Actual,Q2_Budget,Q2_Actual,Q3_Budget,Q3_Actual,Q4_Budget,Q4_Actual,Notes
Marketing,Salaries,Designers,115000,112800,115000,117200,115000,115800,115000,116900,Graphic and web design
Marketing,Salaries,Social Media,75000,73900,75000,76400,75000,75300,75000,76800,Community management
Marketing,Advertising,Digital Ads,125000,132400,135000,142800,145000,148200,155000,0,Google Facebook LinkedIn
Marketing,Advertising,Display Ads,45000,43800,48000,46900,50000,49200,52000,0,Programmatic advertising
Marketing,Advertising,Retargeting,35000,36200,38000,39800,40000,39400,42000,0,Pixel-based campaigns
Marketing,Content,Video Production,55000,52900,60000,58400,65000,63200,70000,0,Product demos tutorials
Marketing,Content,Photography,22000,21400,25000,24200,28000,27100,30000,0,Product and team photos
Marketing,Content,Copywriting,18000,17600,18000,18400,18000,17800,18000,0,Landing pages emails
Marketing,Events,Webinars,28000,27200,30000,29800,32000,31400,35000,0,Virtual event platform
Marketing,Events,Sponsorships,85000,83400,90000,88900,95000,92800,100000,0,Industry event sponsorships
Marketing,Events,Trade Shows,95000,92800,100000,98400,85000,83100,90000,0,Booth and materials
Marketing,Software,Marketing Automation,42000,41800,42000,42300,42000,41900,42000,0,HubSpot Marketo platform
Marketing,Software,Analytics Tools,25000,24600,25000,25400,25000,24900,25000,0,Google Analytics premium
Marketing,Software,Design Tools,15000,14800,15000,15200,15000,14900,15000,0,Adobe Creative Cloud
Marketing,Agency,SEO Services,35000,34200,38000,37400,40000,39100,42000,0,Organic search optimization
Marketing,Agency,PR Services,48000,46800,50000,49200,52000,51300,55000,0,Media relations outreach
Marketing,Research,Market Studies,32000,31400,35000,33900,38000,37200,40000,0,Customer surveys analysis
Marketing,Research,Competitor Analysis,18000,17600,20000,19400,22000,21300,25000,0,Market intelligence
HR,Salaries,HR Managers,145000,143200,145000,146800,145000,145600,145000,147300,Compensation and benefits
HR,Salaries,Recruiters,195000,192400,195000,197800,195000,196300,195000,198900,Multiple recruiter positions
HR,Salaries,HR Coordinators,85000,83700,85000,86300,85000,85400,85000,86900,Administrative support
HR,Recruiting,Job Boards,25000,24200,28000,27400,30000,29300,32000,0,LinkedIn Indeed postings
HR,Recruiting,Agency Fees,85000,78900,90000,94200,95000,91800,100000,0,Executive search firms
HR,Recruiting,Referral Bonuses,35000,32400,40000,43800,45000,42900,50000,0,Employee referral program
HR,Training,Leadership Development,45000,43800,48000,47200,50000,49100,52000,0,Manager training programs
HR,Training,Compliance Training,22000,21600,22000,22400,22000,21900,22000,0,Required certifications
HR,Training,Skills Development,38000,36900,40000,39200,42000,41300,45000,0,Professional development
HR,Benefits,Health Insurance,385000,384200,395000,396800,405000,404900,415000,0,Employee and family coverage
HR,Benefits,Retirement Plans,125000,124800,130000,129700,135000,134600,140000,0,401k matching program
HR,Benefits,Life Insurance,35000,34800,35000,35200,35000,34900,35000,0,Group life coverage
HR,Events,Team Building,28000,26800,30000,29200,32000,31100,35000,0,Offsite activities
HR,Events,Holiday Parties,22000,21400,25000,24300,18000,17600,28000,0,Annual celebrations
HR,Software,HRIS System,38000,37800,38000,38200,38000,37900,38000,0,Workday BambooHR license
HR,Software,Applicant Tracking,18000,17800,18000,18200,18000,17900,18000,0,Greenhouse Lever platform
HR,Wellness,Gym Memberships,15000,14200,16000,15600,17000,16400,18000,0,Corporate wellness program
HR,Wellness,Mental Health,25000,23800,28000,27200,30000,29300,32000,0,EAP and counseling
HR,Office,Supplies,6000,5800,6000,6100,6000,5900,6000,0,General HR supplies
Operations,Salaries,Operations Managers,185000,182900,185000,187400,185000,186100,185000,188700,Facilities and logistics
Operations,Salaries,IT Support,155000,153200,155000,157100,155000,155800,155000,158300,Help desk technicians
Operations,Salaries,Admin Staff,125000,123400,125000,126800,125000,125300,125000,127900,Reception and admin
Operations,Facilities,Rent,245000,245000,245000,245000,245000,245000,245000,0,Office lease payments
Operations,Facilities,Utilities,42000,43200,38000,36900,35000,38400,45000,0,Electric gas water
Operations,Facilities,Maintenance,28000,27300,30000,31200,32000,30900,35000,0,Building repairs upkeep
Operations,Facilities,Cleaning Services,18000,17800,18000,18200,18000,17900,18000,0,Janitorial services
Operations,Facilities,Security,25000,24800,25000,25200,25000,24900,25000,0,Access control monitoring
Operations,IT Infrastructure,Servers,65000,62900,55000,53400,60000,58700,70000,0,On-premise server hardware
Operations,IT Infrastructure,Storage,45000,43800,48000,49200,50000,48900,52000,0,SAN and NAS systems
Operations,IT Infrastructure,Backup Systems,32000,31400,32000,32800,32000,31900,32000,0,Backup and disaster recovery
Operations,Software,Productivity Suite,55000,54800,55000,55200,55000,54900,55000,0,Microsoft Office 365
Operations,Software,Security Software,42000,41600,45000,44800,48000,47300,50000,0,Antivirus firewall licenses
Operations,Software,Collaboration Tools,28000,27800,28000,28300,28000,27900,28000,0,Slack Zoom licenses
Operations,Telecom,Phone System,32000,31600,32000,32400,32000,31900,32000,0,VoIP system and lines
Operations,Telecom,Internet,22000,21900,22000,22100,22000,22000,22000,0,High-speed fiber connection
Operations,Telecom,Mobile Plans,38000,37400,40000,39800,42000,41300,45000,0,Corporate cell plans
Operations,Insurance,General Liability,55000,55000,55000,55000,55000,55000,55000,0,Business insurance premium
Operations,Insurance,Property Insurance,35000,35000,35000,35000,35000,35000,35000,0,Equipment and property
Operations,Legal,Retainer Fees,45000,45000,45000,45000,45000,45000,45000,0,General legal counsel
Operations,Legal,Contract Review,18000,16800,20000,19400,22000,20900,25000,0,Legal document review
Operations,Supplies,Office Supplies,15000,14300,16000,15700,17000,16400,18000,0,General office materials
Operations,Supplies,Kitchen Supplies,12000,11600,12000,12400,12000,11900,12000,0,Coffee snacks beverages
Operations,Supplies,Printing,8000,7800,8000,8200,8000,7900,8000,0,Copier paper toner
Finance,Salaries,Finance Managers,165000,163400,165000,166800,165000,165600,165000,167900,Controller and managers
Finance,Salaries,Accountants,185000,182900,185000,187300,185000,186100,185000,188400,Staff and senior accountants
Finance,Salaries,Financial Analysts,135000,133200,135000,136900,135000,135700,135000,138100,FP&A analysts
Finance,Software,Accounting System,52000,51800,52000,52200,52000,51900,52000,0,QuickBooks Enterprise
Finance,Software,Financial Planning,38000,37800,38000,38300,38000,37900,38000,0,Adaptive Insights Anaplan
Finance,Software,Expense Management,22000,21800,22000,22200,22000,21900,22000,0,Concur Expensify platform
Finance,Audit,External Audit,65000,65000,68000,68000,0,0,72000,0,Annual financial audit
Finance,Audit,Internal Audit,35000,33800,38000,37200,40000,39100,42000,0,Compliance and controls
Finance,Banking,Service Fees,15000,14800,15000,15300,15000,14900,15000,0,Bank transaction fees
Finance,Banking,Merchant Fees,28000,29200,30000,31800,32000,32900,35000,0,Credit card processing
Finance,Tax,Tax Preparation,42000,42000,45000,45000,0,0,48000,0,Corporate tax filing
Finance,Tax,Tax Consulting,25000,23900,28000,27200,30000,29100,32000,0,Tax planning strategies
Finance,Compliance,Regulatory Fees,18000,18000,20000,20000,22000,22000,25000,0,Industry compliance costs
Finance,Compliance,Certifications,12000,11800,12000,12200,12000,11900,12000,0,Professional certifications
Finance,Insurance,D&O Insurance,55000,55000,55000,55000,55000,55000,55000,0,Directors and officers
Finance,Insurance,Cyber Insurance,45000,45000,48000,48000,50000,50000,52000,0,Data breach coverage
Finance,Office,Supplies,5000,4800,5000,5100,5000,4900,5000,0,Finance department supplies
Engineering,Salaries,Engineering Managers,225000,222800,225000,227900,225000,226100,225000,229300,Team lead positions
Engineering,Salaries,Data Engineers,195000,192400,195000,198200,195000,196700,195000,199800,Data pipeline development
Engineering,Salaries,Security Engineers,165000,163100,165000,167400,165000,166200,165000,169100,InfoSec team
Engineering,Equipment,Servers,85000,82900,65000,63200,75000,73800,90000,0,Development servers
Engineering,Equipment,Network Equipment,35000,33800,28000,27400,32000,31200,38000,0,Switches and routers
Engineering,Software,Database Licenses,65000,64200,68000,69800,72000,71400,75000,0,PostgreSQL Oracle support
Engineering,Software,Monitoring Tools,42000,41300,45000,46200,48000,47600,50000,0,DataDog New Relic
Engineering,Software,Security Tools,38000,37200,40000,41300,42000,41700,45000,0,Vulnerability scanning
Engineering,Training,Certifications,28000,26900,30000,29200,32000,31300,35000,0,AWS Azure certifications
Engineering,Training,Books and Resources,8000,7600,8000,8300,8000,7900,8000,0,Technical books subscriptions
Engineering,Infrastructure,CDN Services,45000,46800,48000,51200,52000,53900,55000,0,Cloudflare Akamai
Engineering,Infrastructure,DNS Services,12000,11900,12000,12200,12000,11900,12000,0,Domain and DNS management
Engineering,Research,POC Projects,55000,52300,60000,58900,65000,62800,70000,0,Proof of concept initiatives
Engineering,Research,Innovation Lab,45000,43200,48000,46800,50000,49100,52000,0,Experimental projects
Sales,Salaries,Inside Sales,285000,281900,285000,288700,285000,286400,285000,291200,SDR and BDR teams
Sales,Salaries,Customer Success,165000,162800,165000,167400,165000,166100,165000,169300,Account management
Sales,Commissions,Partner Referrals,35000,38900,40000,44200,45000,42800,50000,0,Channel partner program
Sales,Travel,Ground Transportation,22000,21400,25000,24800,28000,27200,30000,0,Rental cars rideshare
Sales,Travel,Meals and Entertainment,38000,36800,40000,39400,42000,41300,45000,0,Client meals
Sales,Marketing Materials,Demo Equipment,25000,23800,28000,27200,30000,29100,32000,0,Product demonstration kits
Sales,Marketing Materials,Swag,18000,17200,20000,19600,22000,21400,25000,0,Branded merchandise
Sales,Software,Proposal Software,18000,17800,18000,18200,18000,17900,18000,0,Proposify PandaDoc
Sales,Software,Email Tools,15000,14800,15000,15300,15000,14900,15000,0,Outreach SalesLoft
Sales,Events,Golf Outings,22000,21300,25000,24200,28000,27100,30000,0,Client entertainment
Sales,Events,Sporting Events,18000,17400,20000,19600,22000,21300,25000,0,Client tickets
Sales,Training,Sales Training,35000,33800,38000,37200,40000,39100,42000,0,Sales methodology training
Sales,Training,Product Training,22000,21400,25000,24600,28000,27300,30000,0,Internal product knowledge
Marketing,Salaries,Marketing Directors,145000,143200,145000,146800,145000,145700,145000,148300,Senior leadership
Marketing,Salaries,SEO Specialists,95000,93600,95000,96800,95000,95400,95000,98100,Organic search optimization
Marketing,Salaries,PPC Specialists,105000,103400,105000,107200,105000,105800,105000,108900,Paid search management
Marketing,Advertising,Podcast Ads,42000,40800,45000,44200,48000,47100,50000,0,Podcast sponsorships
Marketing,Advertising,Radio Ads,55000,53400,45000,43800,50000,48900,60000,0,Local radio campaigns
Marketing,Advertising,Print Ads,28000,26900,25000,24200,22000,21300,20000,0,Industry publications
Marketing,Content,White Papers,32000,30800,35000,34200,38000,37100,40000,0,Thought leadership content
Marketing,Content,Case Studies,25000,24200,28000,27400,30000,29300,32000,0,Customer success stories
Marketing,Content,Infographics,18000,17400,20000,19600,22000,21400,25000,0,Visual content creation
Marketing,Events,Virtual Events,38000,36900,40000,39400,42000,41300,45000,0,Online conference platform
Marketing,Events,Roadshows,65000,62800,70000,68400,55000,53700,60000,0,Regional customer events
Marketing,Software,Social Media Tools,22000,21800,22000,22300,22000,21900,22000,0,Hootsuite Buffer Sprout
Marketing,Software,Email Platform,35000,34800,35000,35300,35000,34900,35000,0,Mailchimp Constant Contact
Marketing,Agency,Content Marketing,52000,50800,55000,54200,58000,57100,60000,0,Blog and content services
Marketing,Agency,Social Media,38000,37200,40000,39600,42000,41400,45000,0,Social media management
Marketing,Research,Focus Groups,28000,27200,30000,29400,32000,31300,35000,0,Customer feedback sessions
Marketing,Research,A/B Testing,18000,17600,20000,19800,22000,21600,25000,0,Conversion optimization
Marketing,Influencer,Partnerships,55000,53800,60000,58900,65000,63700,70000,0,Influencer collaborations
Marketing,Influencer,Ambassador Program,32000,31400,35000,34600,38000,37400,40000,0,Brand ambassador network
HR,Salaries,Compensation Analysts,85000,83600,85000,86400,85000,85600,85000,87800,Salary benchmarking
HR,Recruiting,Campus Recruiting,42000,40800,45000,44200,48000,47100,50000,0,University partnerships
HR,Recruiting,Job Fairs,22000,21400,25000,24600,28000,27300,30000,0,Career fair participation
HR,Training,Onboarding Programs,28000,27200,30000,29600,32000,31400,35000,0,New hire orientation
HR,Training,Mentorship Programs,18000,17400,20000,19600,22000,21500,25000,0,Employee mentoring
HR,Benefits,Dental Insurance,65000,64800,68000,67900,70000,69800,72000,0,Group dental coverage
HR,Benefits,Vision Insurance,22000,21900,23000,22900,24000,23900,25000,0,Group vision coverage
HR,Benefits,Disability Insurance,35000,34900,36000,35900,37000,36900,38000,0,Short and long term
HR,Events,Recognition Programs,18000,17200,20000,19400,22000,21300,25000,0,Employee awards
HR,Events,Volunteer Activities,15000,14300,18000,17400,20000,19600,22000,0,Community service days
HR,Software,Background Checks,15000,14600,16000,15800,17000,16700,18000,0,Employment screening
HR,Software,Performance Management,25000,24800,25000,25200,25000,24900,25000,0,Performance review system
HR,Wellness,Fitness Programs,22000,21400,25000,24600,28000,27300,30000,0,Corporate fitness classes
HR,Wellness,Health Screenings,18000,17600,20000,19700,22000,21600,25000,0,Annual health assessments
Operations,Salaries,Office Managers,95000,93600,95000,96400,95000,95600,95000,98200,Facilities management
Operations,Facilities,Landscaping,15000,14600,16000,15800,18000,17600,20000,0,Outdoor maintenance
Operations,Facilities,Snow Removal,12000,13200,8000,7400,0,0,10000,0,Winter weather service
Operations,Facilities,Pest Control,8000,7900,8000,8100,8000,7900,8000,0,Quarterly pest service
Operations,Facilities,HVAC Maintenance,22000,21600,25000,26200,28000,27400,30000,0,Heating and cooling service
Operations,IT Infrastructure,Workstations,95000,92800,75000,73400,85000,83600,100000,0,Desktop computers
Operations,IT Infrastructure,Printers,28000,26900,22000,21400,25000,24300,30000,0,Multifunction printers
Operations,Software,Project Management,32000,31800,32000,32200,32000,31900,32000,0,Jira Asana Monday licenses
Operations,Software,Documentation,18000,17800,18000,18200,18000,17900,18000,0,Confluence Notion licenses
Operations,Telecom,Conference System,25000,24600,28000,27800,30000,29600,32000,0,Video conferencing hardware
Operations,Insurance,Workers Compensation,75000,75000,78000,78000,80000,80000,82000,0,Employee injury coverage
Operations,Insurance,Equipment Insurance,25000,25000,26000,26000,27000,27000,28000,0,Technology equipment
Operations,Legal,Litigation,35000,32800,40000,38600,45000,42900,50000,0,Legal disputes resolution
Operations,Legal,Intellectual Property,28000,27400,30000,29600,32000,31400,35000,0,Patent and trademark
Operations,Supplies,Shipping Supplies,12000,11600,13000,12800,14000,13700,15000,0,Packaging materials
Operations,Supplies,Break Room,18000,17400,20000,19700,22000,21600,25000,0,Kitchen and break supplies
Finance,Salaries,Payroll Specialists,105000,103400,105000,106800,105000,105600,105000,108200,Payroll processing team
Finance,Software,Payroll System,28000,27900,28000,28100,28000,27900,28000,0,ADP Paychex platform
Finance,Software,Budget Software,22000,21800,22000,22200,22000,21900,22000,0,Budget planning tools
Finance,Audit,SOX Compliance,48000,47200,50000,49600,52000,51400,55000,0,Sarbanes-Oxley compliance
Finance,Banking,Wire Transfer Fees,8000,8200,9000,9400,10000,10300,11000,0,International transfers
Finance,Banking,Lockbox Services,12000,11900,12000,12100,12000,11900,12000,0,Payment processing
Finance,Tax,Sales Tax,22000,21800,24000,23900,26000,25800,28000,0,Multi-state sales tax
Finance,Tax,Property Tax,35000,35000,36000,36000,37000,37000,38000,0,Real estate taxes
Finance,Compliance,SOC2 Audit,45000,45000,48000,48000,0,0,50000,0,Security compliance audit
Finance,Compliance,PCI Compliance,25000,24800,26000,25900,27000,26900,28000,0,Payment card compliance
Finance,Office,Professional Dues,8000,7800,9000,8900,10000,9800,11000,0,CPA and finance memberships
Engineering,Salaries,Frontend Engineers,175000,172800,175000,177600,175000,176200,175000,179800,React Vue Angular developers
Engineering,Salaries,Backend Engineers,185000,182600,185000,187800,185000,186400,185000,189900,Node Python Java developers
Engineering,Salaries,Mobile Engineers,165000,163200,165000,167600,165000,166300,165000,169700,iOS Android developers
Engineering,Equipment,Test Devices,35000,33800,28000,27200,32000,31400,38000,0,Mobile devices for testing
Engineering,Software,API Management,28000,27600,30000,29800,32000,31600,35000,0,API gateway services
Engineering,Software,Container Services,42000,41400,45000,46200,48000,47600,50000,0,Docker Kubernetes
Engineering,Training,Workshops,32000,30800,35000,34200,38000,37300,40000,0,Technical skill workshops
Engineering,Infrastructure,Load Balancers,35000,34200,38000,39200,40000,39600,42000,0,Traffic distribution
Engineering,Research,Open Source,22000,21400,25000,24600,28000,27400,30000,0,Open source contributions
Sales,Salaries,VP of Sales,195000,193400,195000,197200,195000,196300,195000,199800,Sales leadership
Sales,Commissions,Team Bonuses,55000,62300,60000,68900,65000,64200,70000,0,Quarterly team incentives
Sales,Travel,Parking,8000,7800,9000,8900,10000,9800,11000,0,Airport and event parking
Sales,Software,Contract Management,22000,21800,22000,22200,22000,21900,22000,0,DocuSign contract software
Sales,Events,Partner Events,42000,40800,45000,44200,48000,47100,50000,0,Channel partner meetings
Sales,Training,Negotiation Training,25000,24200,28000,27400,30000,29400,32000,0,Sales negotiation skills
Marketing,Salaries,Email Marketing Specialists,85000,83600,85000,86800,85000,85700,85000,88200,Email campaign management
Marketing,Advertising,Native Advertising,38000,37200,40000,39600,42000,41500,45000,0,Sponsored content
Marketing,Content,Email Templates,15000,14600,18000,17600,20000,19600,22000,0,Custom email designs
Marketing,Events,Lunch and Learns,12000,11600,15000,14700,18000,17600,20000,0,Educational events
Marketing,Software,Video Editing,18000,17800,18000,18200,18000,17900,18000,0,Adobe Premiere Final Cut
Marketing,Agency,Video Production,52000,50800,55000,54200,58000,57400,60000,0,External video agency
Marketing,Research,User Testing,22000,21400,25000,24600,28000,27500,30000,0,Usability testing services
HR,Recruiting,Diversity Initiatives,35000,33800,38000,37400,40000,39300,42000,0,Diverse candidate sourcing
HR,Training,Diversity Training,28000,27200,30000,29600,32000,31500,35000,0,DEI programs
HR,Benefits,Commuter Benefits,42000,41600,45000,44700,48000,47600,50000,0,Transit and parking subsidies
HR,Benefits,Education Assistance,55000,52900,60000,58700,65000,63800,70000,0,Tuition reimbursement
HR,Events,Diversity Events,22000,21400,25000,24600,28000,27500,30000,0,Cultural celebrations
HR,Software,Learning Management,35000,34800,35000,35200,35000,34900,35000,0,LMS platform Cornerstone
HR,Wellness,Ergonomic Assessments,15000,14600,18000,17700,20000,19700,22000,0,Workplace ergonomics
Operations,Facilities,Signage,18000,17400,15000,14600,20000,19600,22000,0,Interior and exterior signs
Operations,Facilities,Access Control,32000,31600,35000,34800,38000,37600,40000,0,Keycard and security systems
Operations,IT Infrastructure,UPS Systems,28000,27400,25000,24600,30000,29600,35000,0,Uninterruptible power supply
Operations,Software,Asset Management,18000,17800,18000,18200,18000,17900,18000,0,IT asset tracking
Operations,Telecom,Video Conferencing,28000,27800,28000,28200,28000,27900,28000,0,Zoom Teams licenses
Operations,Insurance,Umbrella Coverage,35000,35000,36000,36000,37000,37000,38000,0,Excess liability insurance
Operations,Legal,Compliance Consulting,32000,31400,35000,34700,38000,37400,40000,0,Regulatory compliance advice
Operations,Supplies,Postage,10000,9800,11000,10900,12000,11800,13000,0,Mail and shipping costs
Finance,Salaries,Treasury Analysts,95000,93600,95000,96800,95000,95700,95000,98400,Cash management
Finance,Software,Treasury Management,32000,31800,32000,32200,32000,31900,32000,0,Cash flow forecasting tools
Finance,Audit,Fraud Prevention,22000,21600,25000,24700,28000,27600,30000,0,Fraud detection systems
Finance,Banking,Foreign Exchange,15000,16200,18000,19300,20000,21400,22000,0,Currency conversion costs
Finance,Tax,International Tax,35000,34200,38000,37600,40000,39500,42000,0,Multi-country tax planning
Finance,Compliance,Financial Reporting,28000,27600,30000,29800,32000,31700,35000,0,SEC reporting compliance
Engineering,Salaries,Technical Writers,105000,103400,105000,106900,105000,105800,105000,108600,Documentation specialists
Engineering,Equipment,Lab Equipment,42000,40800,35000,34200,40000,39400,45000,0,Testing and lab gear
Engineering,Software,Version Control,15000,14900,15000,15100,15000,14900,15000,0,GitHub GitLab enterprise
Engineering,Training,Conference Tickets,18000,17400,20000,19700,22000,21600,25000,0,Tech conference attendance
Engineering,Infrastructure,Email Services,22000,21800,22000,22200,22000,21900,22000,0,Corporate email hosting
Sales,Salaries,Sales Operations,125000,123400,125000,126900,125000,125800,125000,129100,Sales ops analysts
Sales,Software,Sales Enablement,28000,27600,30000,29800,32000,31700,35000,0,Training and content platform
Sales,Events,Award Ceremonies,25000,24200,28000,27600,30000,29600,32000,0,Sales recognition events
Marketing,Salaries,Brand Managers,115000,113200,115000,116900,115000,115800,115000,119300,Brand strategy and management
Marketing,Advertising,Affiliate Marketing,45000,46800,48000,51200,50000,49600,52000,0,Affiliate program costs
Marketing,Content,Podcast Production,35000,33800,38000,37400,40000,39400,42000,0,Internal podcast creation
Marketing,Software,CMS Platform,25000,24800,25000,25200,25000,24900,25000,0,WordPress Drupal hosting
Marketing,Research,Brand Studies,28000,27200,30000,29600,32000,31500,35000,0,Brand awareness research
HR,Salaries,Benefits Administrators,95000,93600,95000,96800,95000,95700,95000,98500,Benefits coordination
HR,Recruiting,Candidate Experience,18000,17400,20000,19700,22000,21600,25000,0,Interview process improvement
HR,Training,Executive Coaching,42000,40800,45000,44200,48000,47400,50000,0,Leadership coaching services
HR,Benefits,Parental Leave,55000,52900,60000,58700,65000,63800,70000,0,Paid family leave program
HR,Events,Retirement Celebrations,12000,11600,15000,14700,18000,17600,20000,0,Employee retirement parties
HR,Software,Time Tracking,18000,17800,18000,18200,18000,17900,18000,0,Timekeeping system
Operations,Facilities,Interior Design,25000,24200,20000,19600,22000,21700,28000,0,Office space design consulting
Operations,IT Infrastructure,Wireless Systems,35000,34200,38000,37800,40000,39600,42000,0,WiFi infrastructure
Operations,Software,Ticketing System,22000,21800,22000,22200,22000,21900,22000,0,IT help desk software
Operations,Telecom,Toll Free Numbers,8000,7900,8000,8100,8000,7900,8000,0,Customer service lines
Operations,Legal,Employment Law,28000,27400,30000,29700,32000,31600,35000,0,HR legal consulting
Operations,Supplies,Equipment Rental,15000,14600,18000,17800,20000,19700,22000,0,Temporary equipment needs
Finance,Salaries,AP Specialists,85000,83600,85000,86400,85000,85700,85000,88200,Accounts payable team
Finance,Salaries,AR Specialists,85000,83600,85000,86400,85000,85700,85000,88200,Accounts receivable team
Finance,Software,Invoice Processing,18000,17800,18000,18200,18000,17900,18000,0,Automated invoice system
Finance,Banking,ACH Fees,12000,12200,13000,13400,14000,14300,15000,0,Electronic payment fees
Finance,Tax,Franchise Tax,18000,18000,19000,19000,20000,20000,21000,0,State franchise taxes
Finance,Compliance,Export Compliance,22000,21600,25000,24800,28000,27600,30000,0,International trade compliance
