product_id,product_name,category,subcategory,price,cost,stock_quantity,supplier_id,sku,weight_kg,dimensions_cm,is_active
5103,Shower Curtain,Home & Garden,Bathroom,24.99,12.50,190,111,HOME-30021,0.55,200x180x1,True
5104,Punching Bag,Sports,Boxing,99.99,50.00,65,116,SPRT-40021,15.00,100x35x35,True
5105,Manga Collection,Books,Comics,34.99,17.50,140,121,BOOK-50021,1.30,20x14x6,True
5106,Gaming Headset,Electronics,Gaming,89.99,45.00,125,102,ELEC-10022,0.35,22x20x12,True
5107,Socks Pack,Clothing,Accessories,16.99,8.50,400,106,CLTH-20022,0.20,25x20x5,True
5108,Bookshelf,Home & Garden,Furniture,149.99,75.00,55,111,HOME-30022,25.00,120x80x30,True
5109,Frisbee,Sports,Outdoor Games,9.99,5.00,280,116,SPRT-40022,0.18,28x28x3,True
5110,Romance Novel,Books,Fiction,13.99,7.00,250,121,BOOK-50022,0.38,19x13x2,True
5111,Drone with Camera,Electronics,Drones,399.99,200.00,45,102,ELEC-10023,1.80,35x30x12,True
5112,Bathrobe,Clothing,Sleepwear,49.99,25.00,130,106,CLTH-20023,0.85,45x38x6,True
5113,Spice Rack,Home & Garden,Kitchen,29.99,15.00,170,111,HOME-30023,2.10,40x25x20,True
5114,Treadmill,Sports,Fitness,699.99,350.00,30,116,SPRT-40024,70.00,180x80x140,True
5115,Magazine Subscription,Books,Magazines,39.99,20.00,500,121,BOOK-50023,0.25,28x22x1,True
5116,Tripod Camera,Electronics,Camera Accessories,44.99,22.50,140,102,ELEC-10024,1.40,50x10x10,True
5117,Tie,Clothing,Accessories,19.99,10.00,250,106,CLTH-20024,0.10,145x8x1,True
5118,Candle Set,Home & Garden,Home Decor,34.99,17.50,180,111,HOME-30024,1.50,25x20x15,True
5119,Tennis Ball Set,Sports,Tennis Equipment,12.99,6.50,300,116,SPRT-40025,0.21,20x10x10,True
5120,Thriller Novel,Books,Fiction,17.99,9.00,220,121,BOOK-50024,0.42,21x14x2,True
