transaction_id,date,product_category,product_name,quantity,price,revenue
1065,2023-07-14,Sports,Badminton Set,2,29.99,59.98
1066,2023-08-19,Electronics,Router,1,59.99,59.99
1067,2023-09-23,Clothing,Tie,5,19.99,99.95
1068,2023-10-30,Home & Garden,Mirror,1,54.99,54.99
1069,2023-11-13,Books,Art Book,2,34.99,69.98
1070,2023-12-28,Sports,Weights Set,-2,49.99,-99.98
1071,2023-01-17,Electronics,Webcam,3,44.99,134.97
1072,2023-02-20,Clothing,Hoodie,2,44.99,89.98
1073,2023-03-25,Home & Garden,Rug,1,79.99,79.99
1074,2023-04-28,Books,Magazine Subscription,1,39.99,39.99
1075,2023-05-31,Sports,Helmet,2,39.99,79.98
1076,2023-06-25,Electronics,Smart Bulb,6,19.99,119.94
1077,2023-07-29,Clothing,Swimsuit,1,49.99,49.99
1078,2023-08-14,Home & Garden,Candles,10,7.99,79.90
1079,2023-09-18,Books,Dictionary,1,29.99,29.99
1080,2023-10-23,Sports,Punching Bag,1,99.99,99.99
1081,2023-11-27,Electronics,Charger,5,14.99,74.95
1082,2023-12-05,Clothing,Backpack,2,39.99,79.98
1083,2023-01-12,Home & Garden,Clock,3,24.99,74.97
1084,2023-02-16,Books,Calendar,4,9.99,39.96
1085,2023-03-19,Sports,Water Bottle,8,12.99,103.92
1086,2023-04-24,Electronics,Power Bank,4,29.99,119.96
1087,2023-05-28,Clothing,Sunglasses,3,34.99,104.97
1088,2023-06-30,Home & Garden,Pillow,6,19.99,119.94
1089,2023-07-23,Books,Journal,5,14.99,74.95
1090,2023-08-27,Sports,Frisbee,4,9.99,39.96
1091,2023-09-30,Electronics,Mouse Pad,10,8.99,89.90
1092,2023-10-15,Clothing,Umbrella,3,19.99,59.97
1093,2023-11-19,Home & Garden,Storage Box,5,17.99,89.95
1094,2023-12-22,Books,Puzzle Book,6,8.99,53.94
1095,2023-01-28,Sports,Jump Rope,7,9.99,69.93
1096,2023-02-25,Electronics,HDMI Cable,8,12.99,103.92
1097,2023-03-29,Clothing,Rain Jacket,1,59.99,59.99
1098,2023-04-13,Home & Garden,Watering Can,2,14.99,29.98
1099,2023-05-20,Books,Notebook,15,4.99,74.85
1100,2023-06-11,Sports,Yoga Block,-1,12.99,-12.99
1101,2023-07-06,Electronics,Screen Protector,12,6.99,83.88
1102,2023-08-10,Clothing,Slippers,4,19.99,79.96
1103,2023-09-13,Home & Garden,Doormat,2,24.99,49.98
1104,2023-10-08,Books,Sticker Pack,20,2.99,59.80
1105,2023-11-02,Sports,Resistance Bands,3,19.99,59.97
1106,2023-12-17,Electronics,Phone Case,6,14.99,89.94
1107,2023-01-31,Clothing,Mittens,4,12.99,51.96
1108,2023-02-13,,Garden Gloves,8,7.99,63.92
1109,2023-03-08,Books,Coloring Book,6,6.99,41.94
1110,2023-04-20,Sports,Stopwatch,2,24.99,49.98
1111,2023-05-16,Electronics,Cable Organizer,10,5.99,59.90
1112,2023-06-21,Clothing,Bandana,8,7.99,63.92
1113,2023-07-27,Home & Garden,Placemats,6,12.99,77.94
1114,2023-08-31,Books,Bookmark Set,15,3.99,59.85
1115,2023-09-25,Sports,Sweatband,10,6.99,69.90
1116,2023-10-19,Electronics,Cleaning Kit,5,9.99,49.95
1117,2023-11-24,Clothing,Ear Muffs,3,16.99,50.97
1118,2023-12-08,Home & Garden,Coasters,12,8.99,107.88
1119,2023-01-23,Books,Pen Set,8,11.99,95.92
1120,2023-02-17,Sports,Foam Roller,2,29.99,59.98
1121,2023-03-13,Electronics,Cable,15,4.99,74.85
1122,2023-04-06,Clothing,Wallet,3,29.99,89.97
1123,2023-05-11,Home & Garden,Dish Towels,10,5.99,59.90
1124,2023-06-16,Books,Planner,4,19.99,79.96
1125,2023-07-21,Sports,Ankle Weights,2,24.99,49.98
1126,2023-08-05,Electronics,Stylus Pen,6,12.99,77.94
1127,2023-09-10,Clothing,Hair Accessories,12,6.99,83.88
1128,2023-10-14,Home & Garden,Plant Markers,20,2.99,59.80
1129,2023-11-28,Books,Bookmark,25,1.99,49.75
1130,2023-12-31,Sports,Gym Bag,2,34.99,69.98
