transaction_id,date,amount,merchant,currency,exchange_rate,fee_percentage,fixed_fee,tax_rate
VIS042,2024-01-28,456.7834,Nice Store,EUR,0.85,3.2,0.35,0.0
VIS043,2024-01-29,890.23,Office Supplies,USD,1.0,2.9,0.30,0.065
VIS044,2024-01-29,1234.56,Fashion Boutique,USD,1.0,2.9,0.30,0.0975
VIS045,2024-01-29,78.9045,Liverpool Shop,GBP,1.35,3.5,0.35,0.0
VIS046,2024-01-30,4567.12,Home Furnishings,USD,1.0,2.9,0.30,0.0825
VIS047,2024-01-30,123.45,Convenience Store,USD,1.0,2.5,0.25,0.065
VIS048,2024-01-30,2345.6789,Amsterdam Store,EUR,0.85,3.2,0.35,0.0
VIS049,2024-01-31,567.89,Garden Center,USD,1.0,2.9,0.30,0.0975
VIS050,2024-01-31,1678.90,Tech Gadgets,USD,1.0,2.9,0.30,0.0825
VIS051,2024-02-01,89.1256,Leeds Shop,GBP,1.35,3.5,0.35,0.0
VIS052,2024-02-01,3456.12,Jewelry Boutique,USD,1.0,3.5,0.35,0.065
VIS053,2024-02-01,234.78,Liquor Store,USD,1.0,2.5,0.25,0.0975
VIS054,2024-02-02,1890.34,Sporting Goods,USD,1.0,2.9,0.30,0.0825
VIS055,2024-02-02,456.7812,Marseille Shop,EUR,0.85,3.2,0.35,0.0
VIS056,2024-02-02,789.45,Hardware Store,USD,1.0,2.9,0.30,0.065
VIS057,2024-02-03,2567.89,Designer Outlet,USD,1.0,2.9,0.30,0.0825
VIS058,2024-02-03,123.4567,Glasgow Store,GBP,1.35,3.5,0.35,0.0
VIS059,2024-02-03,890.67,Toy Store,USD,1.0,2.9,0.30,0.0975
VIS060,2024-02-04,3789.12,Premium Electronics,USD,1.0,2.9,0.30,0.065
VIS061,2024-02-04,234.5623,Cologne Shop,EUR,0.85,3.2,0.35,0.0
VIS062,2024-02-04,567.90,Music Store,USD,1.0,2.5,0.25,0.0825
VIS063,2024-02-05,1456.78,Shoe Store,USD,1.0,2.9,0.30,0.0975
VIS064,2024-02-05,78.9034,Sheffield Shop,GBP,1.35,3.5,0.35,0.0
VIS065,2024-02-05,2890.45,Luxury Goods,USD,1.0,3.5,0.35,0.065
VIS066,2024-02-06,345.67,Florist,USD,1.0,2.5,0.25,0.0825
VIS067,2024-02-06,4123.8945,Geneva Store,EUR,0.85,3.2,0.35,0.0
VIS068,2024-02-06,890.12,Craft Store,USD,1.0,2.9,0.30,0.065
VIS069,2024-02-07,1567.89,Beauty Salon,USD,1.0,2.9,0.30,0.0975
VIS070,2024-02-07,234.5678,Bristol Shop,GBP,1.35,3.5,0.35,0.0
VIS071,2024-02-07,3456.23,Watch Store,USD,1.0,3.5,0.35,0.0825
VIS072,2024-02-08,567.89,Optical Store,USD,1.0,2.5,0.25,0.065
VIS073,2024-02-08,2123.4512,Vienna Shop,EUR,0.85,3.2,0.35,0.0
VIS074,2024-02-08,789.34,Art Gallery,USD,1.0,2.9,0.30,0.0975
VIS075,2024-02-09,1890.67,Antique Shop,USD,1.0,2.9,0.30,0.0825
VIS076,2024-02-09,123.4589,Newcastle Shop,GBP,1.35,3.5,0.35,0.0
VIS077,2024-02-09,4567.90,Luxury Fashion,USD,1.0,3.5,0.35,0.065
VIS078,2024-02-10,234.56,Deli,USD,1.0,2.5,0.25,0.0975
VIS079,2024-02-10,3234.7823,Munich Store,EUR,0.85,3.2,0.35,0.0
VIS080,2024-02-10,890.45,Fitness Equipment,USD,1.0,2.9,0.30,0.0825
VIS081,2024-02-11,1678.12,Outdoor Gear,USD,1.0,2.9,0.30,0.065
VIS082,2024-02-11,345.6734,Nottingham Shop,GBP,1.35,3.5,0.35,0.0
VIS083,2024-02-11,2567.89,Kitchen Store,USD,1.0,2.9,0.30,0.0975
VIS084,2024-02-12,456.78,Wine Shop,USD,1.0,2.5,0.25,0.0825
VIS085,2024-02-12,4123.4567,Hamburg Shop,EUR,0.85,3.2,0.35,0.0
VIS086,2024-02-12,789.90,Party Supply,USD,1.0,2.9,0.30,0.065
VIS087,2024-02-13,1234.67,Camera Store,USD,1.0,2.9,0.30,0.0825
VIS088,2024-02-13,234.5612,Southampton Shop,GBP,1.35,3.5,0.35,0.0
VIS089,2024-02-13,3567.12,Audio Equipment,USD,1.0,2.9,0.30,0.0975
VIS090,2024-02-14,567.89,Candy Store,USD,1.0,2.5,0.25,0.065
VIS091,2024-02-14,2345.6723,Stuttgart Store,EUR,0.85,3.2,0.35,0.0
VIS092,2024-02-14,890.34,Gift Shop,USD,1.0,2.9,0.30,0.0825
VIS093,2024-02-15,1890.45,Mattress Store,USD,1.0,2.9,0.30,0.065
VIS094,2024-02-15,123.4578,Plymouth Shop,GBP,1.35,3.5,0.35,0.0
VIS095,2024-02-15,4234.89,Luxury Auto,USD,1.0,3.5,0.35,0.0975
VIS096,2024-02-16,345.67,Ice Cream Shop,USD,1.0,2.5,0.25,0.0825
VIS097,2024-02-16,2678.9045,Dresden Store,EUR,0.85,3.2,0.35,0.0
VIS098,2024-02-16,789.12,Luggage Store,USD,1.0,2.9,0.30,0.065
VIS099,2024-02-17,1567.34,Bicycle Shop,USD,1.0,2.9,0.30,0.0975
VIS100,2024-02-17,234.5634,Cardiff Shop,GBP,1.35,3.5,0.35,0.0
VIS101,2024-02-17,3456.78,Designer Shoes,USD,1.0,3.5,0.35,0.0825
VIS102,2024-02-18,567.90,Butcher Shop,USD,1.0,2.5,0.25,0.065
VIS103,2024-02-18,2123.4534,Leipzig Store,EUR,0.85,3.2,0.35,0.0
VIS104,2024-02-18,890.67,Stationery Store,USD,1.0,2.9,0.30,0.0975
VIS105,2024-02-19,1678.89,Vacuum Store,USD,1.0,2.9,0.30,0.0825
VIS106,2024-02-19,345.6745,Belfast Shop,GBP,1.35,3.5,0.35,0.0
VIS107,2024-02-19,4567.23,Fine Dining,USD,1.0,2.9,0.30,0.065
VIS108,2024-02-20,123.45,Nail Salon,USD,1.0,2.5,0.25,0.0975
VIS109,2024-02-20,3234.5678,Düsseldorf Store,EUR,0.85,3.2,0.35,0.0
VIS110,2024-02-20,789.34,Locksmith,USD,1.0,2.9,0.30,0.0825
VIS111,2024-02-21,2456.78,Tile Store,USD,1.0,2.9,0.30,0.065
VIS112,2024-02-21,234.5623,Aberdeen Shop,GBP,1.35,3.5,0.35,0.0
VIS113,2024-02-21,1890.12,Lighting Store,USD,1.0,2.9,0.30,0.0975
VIS114,2024-02-22,456.78,Barber Shop,USD,1.0,2.5,0.25,0.0825
VIS115,2024-02-22,3678.9012,Nuremberg Store,EUR,0.85,3.2,0.35,0.0
VIS116,2024-02-22,890.45,Frame Shop,USD,1.0,2.9,0.30,0.065
VIS117,2024-02-23,1234.56,Plumbing Supply,USD,1.0,2.9,0.30,0.0825
VIS118,2024-02-23,123.4567,Brighton Shop,GBP,1.35,3.5,0.35,0.0
VIS119,2024-02-23,4123.89,Collectibles,USD,1.0,3.5,0.35,0.0975
VIS120,2024-02-24,567.90,Dry Cleaner,USD,1.0,2.5,0.25,0.065
VIS121,2024-02-24,2345.6734,Hanover Store,EUR,0.85,3.2,0.35,0.0
VIS122,2024-02-24,789.12,Tailoring,USD,1.0,2.9,0.30,0.0825
VIS123,2024-02-25,1567.89,Pawn Shop,USD,1.0,2.9,0.30,0.0975
VIS124,2024-02-25,234.5645,Cambridge Shop,GBP,1.35,3.5,0.35,0.0
VIS125,2024-02-25,3456.12,Rare Books,USD,1.0,3.5,0.35,0.065
VIS126,2024-02-26,345.67,Laundromat,USD,1.0,2.5,0.25,0.0825
VIS127,2024-02-26,2678.9023,Bonn Store,EUR,0.85,3.2,0.35,0.0
VIS128,2024-02-26,890.34,Trophy Shop,USD,1.0,2.9,0.30,0.065
VIS129,2024-02-27,1890.45,Marine Supply,USD,1.0,2.9,0.30,0.0975
VIS130,2024-02-27,123.4556,Oxford Shop,GBP,1.35,3.5,0.35,0.0
VIS131,2024-02-27,4234.78,Auction House,USD,1.0,3.5,0.35,0.0825
VIS132,2024-02-28,567.89,Printing Service,USD,1.0,2.5,0.25,0.065
VIS133,2024-02-28,3123.4567,Bremen Store,EUR,0.85,3.2,0.35,0.0
VIS134,2024-02-28,789.90,Engraving,USD,1.0,2.9,0.30,0.0975
VIS135,2024-02-29,1234.67,Pool Supply,USD,1.0,2.9,0.30,0.0825
VIS136,2024-02-29,234.5634,York Shop,GBP,1.35,3.5,0.35,0.0
VIS137,2024-02-29,2567.89,Fireplace Store,USD,1.0,2.9,0.30,0.065
VIS138,2024-03-01,456.78,Piercing Studio,USD,1.0,2.5,0.25,0.0975
VIS139,2024-03-01,4567.8923,Mannheim Store,EUR,0.85,3.2,0.35,0.0
VIS140,2024-03-01,890.12,Upholstery,USD,1.0,2.9,0.30,0.0825
VIS141,2024-03-02,1678.45,Hunting Gear,USD,1.0,2.9,0.30,0.065
VIS142,2024-03-02,123.4578,Bath Shop,GBP,1.35,3.5,0.35,0.0
VIS143,2024-03-02,3456.90,Cigar Lounge,USD,1.0,3.5,0.35,0.0975
VIS144,2024-03-03,567.89,Massage Spa,USD,1.0,2.5,0.25,0.0825
VIS145,2024-03-03,2234.5645,Karlsruhe Store,EUR,0.85,3.2,0.35,0.0
VIS146,2024-03-03,789.34,Taxidermy,USD,1.0,2.9,0.30,0.065
VIS147,2024-03-04,1890.67,RV Supply,USD,1.0,2.9,0.30,0.0975
VIS148,2024-03-04,234.5612,Derby Shop,GBP,1.35,3.5,0.35,0.0
VIS149,2024-03-04,4123.56,Estate Jewelry,USD,1.0,3.5,0.35,0.0825
VIS150,2024-03-05,345.67,Tanning Salon,USD,1.0,2.5,0.25,0.065
VIS151,2024-03-05,3234.7834,Wiesbaden Store,EUR,0.85,3.2,0.35,0.0
VIS152,2024-03-05,890.45,Skate Shop,USD,1.0,2.9,0.30,0.0975
VIS153,2024-03-06,1567.12,Aquarium Store,USD,1.0,2.9,0.30,0.0825
VIS154,2024-03-06,123.4534,Exeter Shop,GBP,1.35,3.5,0.35,0.0
VIS155,2024-03-06,2678.89,Vintage Clothing,USD,1.0,2.9,0.30,0.065
VIS156,2024-03-07,456.78,Car Wash,USD,1.0,2.5,0.25,0.0975
VIS157,2024-03-07,4345.6723,Augsburg Store,EUR,0.85,3.2,0.35,0.0
VIS158,2024-03-07,789.90,Surf Shop,USD,1.0,2.9,0.30,0.0825
VIS159,2024-03-08,1234.45,Vape Shop,USD,1.0,2.9,0.30,0.065
VIS160,2024-03-08,234.5645,Lancaster Shop,GBP,1.35,3.5,0.35,0.0
VIS161,2024-03-08,3567.12,Comic Book Store,USD,1.0,3.5,0.35,0.0975
VIS162,2024-03-09,567.89,Paint Store,USD,1.0,2.5,0.25,0.0825
VIS163,2024-03-09,2456.7823,Freiburg Store,EUR,0.85,3.2,0.35,0.0
VIS164,2024-03-09,890.34,Tile Installation,USD,1.0,2.9,0.30,0.065
VIS165,2024-03-10,1678.90,Golf Pro Shop,USD,1.0,2.9,0.30,0.0975
VIS166,2024-03-10,123.4567,Canterbury Shop,GBP,1.35,3.5,0.35,0.0
VIS167,2024-03-10,4234.56,Luxury Watch,USD,1.0,3.5,0.35,0.0825
VIS168,2024-03-11,345.67,Pet Grooming,USD,1.0,2.5,0.25,0.065
VIS169,2024-03-11,3123.4534,Lübeck Store,EUR,0.85,3.2,0.35,0.0
VIS170,2024-03-11,789.12,Trophy Engraving,USD,1.0,2.9,0.30,0.0975
VIS171,2024-03-12,2345.78,Telescope Shop,USD,1.0,2.9,0.30,0.0825
VIS172,2024-03-12,234.5623,Durham Shop,GBP,1.35,3.5,0.35,0.0
VIS173,2024-03-12,1890.45,Magic Shop,USD,1.0,2.9,0.30,0.065
VIS174,2024-03-13,456.78,Uniform Store,USD,1.0,2.5,0.25,0.0975
VIS175,2024-03-13,4567.8912,Rostock Store,EUR,0.85,3.2,0.35,0.0
VIS176,2024-03-13,890.67,Tent Rental,USD,1.0,2.9,0.30,0.0825
VIS177,2024-03-14,1567.34,Drone Store,USD,1.0,2.9,0.30,0.065
VIS178,2024-03-14,123.4578,Winchester Shop,GBP,1.35,3.5,0.35,0.0
VIS179,2024-03-14,3456.12,Record Store,USD,1.0,3.5,0.35,0.0975
VIS180,2024-03-15,567.89,Arcade,USD,1.0,2.5,0.25,0.0825
VIS181,2024-03-15,2678.9045,Erfurt Store,EUR,0.85,3.2,0.35,0.0
VIS182,2024-03-15,789.34,Escape Room,USD,1.0,2.9,0.30,0.065
VIS183,2024-03-16,1234.56,Trampoline Park,USD,1.0,2.9,0.30,0.0975
VIS184,2024-03-16,234.5634,Chester Shop,GBP,1.35,3.5,0.35,0.0
VIS185,2024-03-16,4123.89,Vintage Guitars,USD,1.0,3.5,0.35,0.0825
VIS186,2024-03-17,345.67,Hookah Lounge,USD,1.0,2.5,0.25,0.065
VIS187,2024-03-17,3234.5612,Kassel Store,EUR,0.85,3.2,0.35,0.0
VIS188,2024-03-17,890.45,Bonsai Shop,USD,1.0,2.9,0.30,0.0975
VIS189,2024-03-18,1890.12,VR Arcade,USD,1.0,2.9,0.30,0.0825
VIS190,2024-03-18,123.4556,Salisbury Shop,GBP,1.35,3.5,0.35,0.0
VIS191,2024-03-18,2567.78,Board Game Cafe,USD,1.0,2.9,0.30,0.065
VIS192,2024-03-19,456.78,Juice Bar,USD,1.0,2.5,0.25,0.0975
VIS193,2024-03-19,4456.7823,Halle Store,EUR,0.85,3.2,0.35,0.0
VIS194,2024-03-19,789.90,Meditation Center,USD,1.0,2.9,0.30,0.0825
VIS195,2024-03-20,1678.45,Axe Throwing,USD,1.0,2.9,0.30,0.065
VIS196,2024-03-20,234.5645,Worcester Shop,GBP,1.35,3.5,0.35,0.0
VIS197,2024-03-20,3456.90,Sushi Restaurant,USD,1.0,3.5,0.35,0.0975
VIS198,2024-03-21,567.89,Brewery Tour,USD,1.0,2.5,0.25,0.0825
VIS199,2024-03-21,2345.6734,Magdeburg Store,EUR,0.85,3.2,0.35,0.0
VIS200,2024-03-21,890.34,Pottery Studio,USD,1.0,2.9,0.30,0.065
