ticket_id,created_at,region,priority
T091,2024-02-04 16:00:00,AMER,Critical
T092,04/02/2024 10:15:00,EMEA,High
T093,2024-03-13T14:30:00+08:00,APAC,Medium
T094,2024/02/29 08:45:00,AMER,Low
T095,29/02/2024 13:15:00,EMEA,High
T096,03/20/2024 16:30:00,AMER,Critical
T097,2024-02-26T10:00:00Z,APAC,Medium
T098,2024-01-23 12:45:00,EMEA,Low
T099,invalid-timestamp-format,AMER,High
T100,2024-03-14T15:45:00+08:00,APAC,Critical
T101,2024/02/12 09:00:00,EMEA,Medium
T102,12/02/2024 14:30:00,EMEA,Low
T103,2024-03-07T11:00:00-05:00,AMER,High
T104,01/29/2024 17:15:00,AMER,Medium
T105,2024-02-02T13:30:00Z,APAC,Critical
T106,2024/03/09 10:45:00,EMEA,Low
T107,2024-01-25 15:00:00,APAC,High
T108,09/03/2024 12:20:00,EMEA,Medium
T109,2024-02-28T16:45:00+08:00,APAC,Low
T110,03/18/2024 08:30:00,AMER,Critical
T111,2024-03-12T14:15:00Z,EMEA,High
T112,2024/01/19 11:30:00,AMER,Medium
T113,19/01/2024 09:45:00,EMEA,Low
T114,2024-02-15 18:00:00,APAC,High
T115,2024-03-16T10:30:00+08:00,APAC,Critical
T116,02/21/2024 13:45:00,AMER,Medium
T117,2024-02-08T15:15:00Z,EMEA,Low
T118,2024/03/13 12:00:00,APAC,High
T119,broken-date-entry,EMEA,Medium
T120,2024-01-24 14:45:00,AMER,Critical
