transaction_id,transaction_date,amount,currency,description
TXN052,2023-10-01,420000,JPY,Strategic planning
TXN053,2023-10-05,1950.00,GBP,Change management
TXN054,2023-10-10,4450.00,USD,Process optimization
TXN055,2023-10-15,2650.00,EUR,HR consulting
TXN056,2023-10-20,3250.00,CAD,Recruitment services
TXN057,,1750.00,AUD,Performance review
TXN058,2023-11-01,4750.00,CHF,Executive coaching
TXN059,2023-11-05,2050.00,EUR,Leadership training
TXN060,2023-11-10,3650.00,GBP,Team building
TXN061,2023-11-15,1450.00,USD,Wellness program
TXN062,2023-11-20,4850.00,CAD,Benefits administration
TXN063,2023-11-25,350000,JPY,Payroll services
TXN064,2023-12-01,2450.00,AUD,Tax preparation
TXN065,2023-12-05,3950.00,CHF,Investment advisory
TXN066,2023-12-10,-1200.00,EUR,Portfolio management
TXN067,2023-12-15,1850.00,GBP,Estate planning
TXN068,2023-12-20,4550.00,USD,Retirement planning
TXN069,2023-12-25,2750.00,CAD,Insurance review
TXN070,2024-01-05,3450.00,AUD,Mortgage consulting
TXN071,2024-01-10,1650.00,CHF,Credit counseling
TXN072,2024-01-15,4250.00,EUR,Debt management
TXN073,2024-01-20,2150.00,GBP,Budget planning
TXN074,2024-01-25,3750.00,USD,Cash flow analysis
TXN075,2024-02-01,450000,JPY,Financial modeling
TXN076,2024-02-05,1950.00,CAD,Valuation services
TXN077,2024-02-10,4650.00,AUD,Due diligence
TXN078,2024-02-15,2550.00,CHF,Mergers advisory
TXN079,2024-02-20,3850.00,EUR,Acquisition support
TXN080,2024-02-25,1750.00,GBP,Integration planning
TXN081,2024-03-01,4950.00,,Restructuring
TXN082,2024-03-05,2250.00,USD,Turnaround services
TXN083,2024-03-10,3550.00,CAD,Liquidation support
TXN084,2024-03-15,380000,JPY,Bankruptcy advisory
TXN085,2024-03-20,1850.00,AUD,Forensic accounting
TXN086,2024-03-25,4350.00,CHF,Fraud investigation
TXN087,2024-03-30,2650.00,EUR,Litigation support
TXN088,2025-01-10,3250.00,GBP,Expert testimony
TXN089,2023-02-28,1550.00,USD,Arbitration services
TXN090,2023-03-30,4750.00,CAD,Mediation support
TXN091,2023-04-15,2850.00,AUD,Contract review
TXN092,2023-05-30,3950.00,CHF,IP protection
TXN093,2023-06-18,1650.00,EUR,Patent filing
TXN094,2023-07-22,4550.00,GBP,Trademark registration
TXN095,2023-08-28,2450.00,USD,Copyright advisory
TXN096,2023-09-12,3650.00,CAD,Licensing agreements
TXN097,2023-10-25,410000,JPY,Technology transfer
TXN098,2023-11-08,1950.00,AUD,Export compliance
TXN099,2023-12-12,4850.00,CHF,Import regulations
TXN100,2024-01-08,2750.00,EUR,Trade agreements
TXN001,2024-01-22,3450.00,GBP,Customs consulting
TXN102,2024-02-12,1750.00,USD,Duty optimization
TXN103,2024-02-28,4650.00,CAD,Supply chain audit
TXN104,2024-03-08,2950.00,AUD,Logistics planning
TXN105,2023-13-45,3750.00,CHF,Warehouse management
TXN106,2023-04-22,1550.00,EUR,Inventory control
TXN107,2023-05-18,4450.00,GBP,Distribution strategy
TXN108,2023-06-24,2350.00,USD,Transportation optimization
TXN109,2023-07-28,3850.00,CAD,Freight management
TXN110,2023-08-16,440000,JPY,Procurement services
TXN111,2023-09-22,1850.00,AUD,Vendor management
TXN112,2023-10-18,4750.00,CHF,Contract negotiation
TXN113,2023-11-24,2550.00,EUR,Supplier evaluation
TXN114,2023-12-16,3950.00,GBP,Category management
TXN115,2024-01-12,1650.00,USD,Sourcing strategy
TXN116,2024-02-18,4850.00,CAD,Cost reduction
TXN117,2024-03-14,2750.00,AUD,Quality improvement
TXN118,2025-02-05,3550.00,CHF,Lean manufacturing
TXN119,2023-02-08,0.00,EUR,Six sigma training
TXN120,2023-03-12,4650.00,GBP,Kaizen implementation
TXN121,2023-04-08,2150.00,USD,Total quality management
TXN122,2023-05-14,3750.00,CAD,ISO certification
TXN123,INVALID_DATE,460000,JPY,Environmental compliance
TXN124,2023-06-16,1950.00,AUD,Sustainability consulting
TXN125,2023-07-12,4950.00,CHF,Green energy advisory
TXN126,2023-08-18,2450.00,EUR,Carbon footprint analysis
TXN127,2023-09-14,3850.00,GBP,Waste management
TXN128,2023-10-16,1750.00,USD,Recycling program
TXN129,2023-11-12,4750.00,CAD,Water conservation
TXN130,2023-12-18,2850.00,AUD,Energy efficiency
TXN131,2024-01-14,3650.00,CHF,Climate strategy
TXN132,2024-02-16,1550.00,EUR,ESG reporting
TXN133,2024-03-12,4550.00,GBP,Social responsibility
TXN134,2023-03-18,2650.00,USD,Community engagement
TXN135,2023-04-24,3950.00,CAD,Stakeholder relations
TXN136,2023-05-22,430000,JPY,Crisis management
TXN137,2023-06-28,1850.00,AUD,Emergency response
TXN138,2023-07-24,4850.00,CHF,Business continuity
TXN139,2023-08-22,2950.00,EUR,Disaster recovery
TXN140,2023-09-28,3750.00,GBP,Incident management
TXN141,,1650.00,USD,Security assessment
TXN142,2023-10-28,4650.00,CAD,Threat analysis
TXN143,2023-11-22,2550.00,AUD,Vulnerability testing
TXN144,2023-12-28,3850.00,CHF,Penetration testing
TXN145,2024-01-24,1950.00,EUR,Security architecture
TXN146,2024-02-22,4950.00,GBP,Identity management
TXN147,2024-03-18,2750.00,USD,Access control
TXN148,2023-04-28,3650.00,CAD,Encryption services
TXN149,2023-05-26,475000,JPY,Key management
TXN150,2023-06-30,1750.00,AUD,Certificate authority
TXN151,2023-07-26,4750.00,CHF,PKI implementation
TXN152,2023-08-30,2450.00,EUR,Authentication services
TXN153,2023-09-26,3950.00,GBP,Authorization systems
TXN154,2023-10-30,1850.00,USD,Single sign-on
TXN155,2023-11-26,4850.00,CAD,Multi-factor authentication
TXN156,2023-12-30,2650.00,AUD,Biometric systems
TXN157,2024-01-28,3750.00,CHF,Token management
TXN158,2024-02-26,1550.00,EUR,Session management
TXN159,2024-03-22,4650.00,GBP,API security
TXN160,2025-03-15,2950.00,USD,Web application firewall
TXN161,2023-04-30,-800.00,CAD,DDoS protection
TXN162,2023-05-28,3850.00,XXX,Intrusion detection
TXN163,2023-06-26,490000,JPY,Security monitoring
TXN164,2023-07-30,1950.00,AUD,Log management
TXN165,2023-08-26,4950.00,CHF,SIEM implementation
TXN075,2023-09-30,2750.00,EUR,Threat intelligence
TXN167,2023-10-26,3650.00,GBP,Incident response
TXN168,2023-11-30,1650.00,USD,Digital forensics
TXN169,2023-12-26,4750.00,CAD,Malware analysis
TXN170,2024-01-30,2550.00,AUD,Reverse engineering
