customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,paperless_billing,num_services,support_calls,churn
CUST0051,46,8,97.40,808.35,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0052,58,63,46.10,2924.30,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0053,33,21,77.90,1654.90,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,5,5,0
CUST0054,65,70,40.20,2834.00,Two year,Bank transfer,DSL,Yes,No,No,No,No,2,0,0
CUST0055,27,4,106.50,442.65,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0056,49,51,53.80,2763.80,Two year,Credit card,DSL,Yes,Yes,Yes,No,No,4,1,0
CUST0057,38,17,83.70,1442.90,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0058,61,67,43.90,2961.30,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,0,0
CUST0059,24,7,98.60,716.20,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,8,1
CUST0060,52,55,44.70,2478.50,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0061,40,34,66.80,2291.20,One year,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0062,47,10,92.50,962.50,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0063,63,68,42.30,2896.40,Two year,Credit card,DSL,Yes,Yes,No,No,No,2,0,0
CUST0064,34,23,75.60,1758.80,One year,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,4,3,0
CUST0065,28,5,103.40,538.75,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0066,55,61,47.80,2935.80,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0067,37,25,72.30,1827.50,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0068,44,9,95.80,894.45,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0069,59,64,45.40,2925.60,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,0,0
CUST0070,30,15,84.20,1279.50,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0071,66,71,39.60,2831.60,Two year,Credit card,DSL,Yes,Yes,No,No,No,2,0,0
CUST0072,26,3,109.20,339.85,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0073,50,53,52.60,2807.80,Two year,Bank transfer,DSL,Yes,Yes,Yes,No,No,4,1,0
CUST0074,35,27,70.40,1920.80,One year,Credit card,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0075,42,12,90.20,1122.40,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0076,57,60,46.50,2811.00,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0077,32,20,78.10,1581.00,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,Yes,4,5,0
CUST0078,67,72,38.70,2806.40,Two year,Bank transfer,DSL,Yes,No,No,No,No,2,0,0
CUST0079,29,14,85.50,1213.00,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0080,54,58,48.90,2856.20,Two year,Credit card,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0081,25,6,101.70,631.05,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0082,62,69,41.40,2876.60,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,0,0
CUST0083,38,31,67.50,2112.50,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0084,45,8,96.30,798.45,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0085,60,66,43.20,2871.20,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0086,33,22,76.80,1709.60,One year,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,4,3,0
CUST0087,27,4,105.90,439.75,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0088,56,62,47.60,2971.20,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0089,39,18,81.40,1481.20,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0090,51,56,44.00,2480.00,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0091,24,7,99.80,726.85,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,8,1
CUST0092,64,70,40.80,2876.00,Two year,Credit card,DSL,Yes,No,No,No,No,2,0,0
CUST0093,36,29,68.70,2012.30,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0094,43,11,93.70,1070.70,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0095,58,63,45.90,2911.70,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0096,31,19,79.50,1530.50,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,Yes,Yes,5,5,0
CUST0097,68,71,39.30,2810.30,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0098,28,13,87.90,1157.70,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,4,0
CUST0099,53,57,46.70,2681.90,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0100,26,5,102.60,533.50,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0101,61,68,42.00,2876.00,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0102,37,30,69.80,2114.00,One year,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0103,46,9,94.10,880.45,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0104,59,65,44.50,2912.50,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0105,34,24,74.20,1800.80,One year,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,4,3,0
CUST0106,29,6,100.50,623.10,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0107,55,61,48.10,2954.10,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0108,40,33,65.90,2194.70,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0109,47,10,91.80,954.90,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0110,62,69,41.80,2904.20,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0111,35,26,71.60,1881.60,One year,Credit card,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0112,42,8,97.90,812.35,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0113,57,60,46.20,2793.00,Two year,Credit card,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0114,32,21,77.30,1643.30,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,Yes,4,5,0
CUST0115,66,72,39.90,2892.80,Two year,Bank transfer,DSL,Yes,No,No,No,No,2,0,0
CUST0116,27,4,107.30,445.25,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0117,50,54,51.90,2822.60,Two year,Credit card,DSL,Yes,Yes,Yes,No,No,4,1,0
CUST0118,38,28,70.10,1982.80,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0119,44,12,89.60,1115.20,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0120,58,64,45.70,2944.80,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0121,30,16,82.90,1342.40,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0122,65,71,40.40,2888.40,Two year,Credit card,DSL,Yes,Yes,No,No,No,2,0,0
CUST0123,25,3,108.50,337.65,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0124,49,52,53.20,2786.40,Two year,Bank transfer,DSL,Yes,Yes,Yes,No,No,4,1,0
CUST0125,36,27,72.80,1985.60,One year,Credit card,Fiber optic,Yes,No,No,Yes,Yes,4,2,0
CUST0126,43,11,92.30,1055.30,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,7,1
CUST0127,60,67,43.50,2934.50,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,0,0
CUST0128,33,23,75.90,1766.70,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,3,0
CUST0129,28,5,104.80,545.40,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0130,56,62,47.30,2952.60,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0131,39,17,83.20,1433.40,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0132,52,55,44.80,2484.00,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0133,24,7,98.90,720.30,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,8,1
CUST0134,63,69,42.60,2959.40,Two year,Credit card,DSL,Yes,Yes,No,No,No,2,0,0
CUST0135,37,32,67.10,2167.20,One year,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0136,45,9,95.40,889.35,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,6,1
CUST0137,59,64,45.20,2912.80,Two year,Credit card,DSL,Yes,Yes,No,Yes,No,3,0,0
CUST0138,31,20,78.60,1591.20,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,Yes,Yes,5,5,0
CUST0139,67,72,38.50,2792.00,Two year,Bank transfer,DSL,Yes,No,No,No,No,2,0,0
CUST0140,29,14,86.70,1230.30,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,4,0
CUST0141,54,59,48.60,2887.40,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0142,26,6,101.20,627.45,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0143,61,68,41.60,2848.80,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0144,38,30,68.40,2072.00,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0145,46,8,96.70,802.80,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0146,58,63,46.30,2937.90,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0147,34,22,76.50,1703.00,One year,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,4,3,0
CUST0148,27,4,106.80,443.25,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0149,55,61,47.90,2943.90,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0150,40,34,66.20,2270.80,One year,Credit card,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0151,47,10,92.80,966.40,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0152,62,68,42.10,2882.80,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0153,35,25,73.50,1857.50,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0154,43,11,94.80,1082.80,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,7,1
CUST0155,57,60,46.00,2781.00,Two year,Credit card,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0156,32,19,80.20,1543.80,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0157,68,72,39.10,2831.20,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0158,28,13,88.10,1159.30,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0159,53,57,47.40,2721.80,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0160,25,5,103.90,540.30,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0161,60,65,43.80,2867.00,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0162,36,29,69.50,2035.50,One year,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0163,44,9,93.40,871.65,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,6,1
CUST0164,59,64,44.90,2893.60,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,0,0
CUST0165,33,24,74.70,1812.80,One year,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,4,3,0
CUST0166,29,6,100.90,625.60,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0167,56,62,48.50,3027.00,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0168,39,18,81.90,1492.20,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0169,51,55,44.30,2454.50,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0170,24,7,99.10,723.75,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,8,1
CUST0171,64,70,40.60,2862.00,Two year,Credit card,DSL,Yes,No,No,No,No,2,0,0
CUST0172,37,31,67.80,2121.80,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0173,45,8,97.60,811.05,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0174,58,63,45.50,2888.50,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0175,31,21,77.70,1651.70,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,Yes,Yes,5,5,0
CUST0176,66,71,39.70,2837.70,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0177,27,4,107.60,446.15,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0178,50,53,52.40,2797.20,Two year,Bank transfer,DSL,Yes,Yes,Yes,No,No,4,1,0
CUST0179,38,27,71.20,1942.40,One year,Credit card,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0180,46,12,90.50,1128.00,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0181,61,69,41.90,2910.10,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0182,34,23,75.40,1754.20,One year,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,4,3,0
CUST0183,28,5,105.20,547.55,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0184,55,61,47.70,2932.70,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0185,40,33,66.50,2214.50,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0186,47,10,93.10,969.05,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,7,1
CUST0187,62,68,42.40,2903.20,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0188,35,26,72.90,1915.40,One year,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,4,2,0
CUST0189,43,11,95.20,1088.20,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0190,57,60,46.40,2805.00,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0191,32,20,79.00,1599.00,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0192,67,72,38.80,2813.60,Two year,Credit card,DSL,Yes,No,No,No,No,2,0,0
CUST0193,29,14,87.30,1238.20,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0194,54,58,48.20,2815.60,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0195,26,6,101.50,629.30,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0196,60,66,43.60,2897.60,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0197,36,28,70.60,1996.80,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0198,44,9,94.30,881.80,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0199,59,65,44.60,2919.00,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0200,30,15,83.80,1271.00,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,4,0
